Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (�)
Department of Health,NHS Barnsley CCG,30/09/2018,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,ASC HEALTHCARE LTD,23829132,"46,119.14 "
Department of Health,NHS Barnsley CCG,30/09/2018,Clinical&Medical-Commercial Sector,OUT OF HOURS,BARNSLEY HEALTHCARE FEDERATION,23738047,"124,715.53 "
Department of Health,NHS Barnsley CCG,30/09/2018,Soc Care-Support Prim Care,GP FORWARD VIEW,BARNSLEY HEALTHCARE FEDERATION,23738053,"132,164.41 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813426,"26,658.77 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813426,"1,310.42 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813426,448.00 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813426,53.38 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813426,"2,327.36 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,"31,690.05 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,6.51 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,"2,150.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,"7,057.88 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,492.00 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,68.54 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813428,"2,420.56 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813429,"28,205.81 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813429,15.68 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813429,"6,200.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813429,"1,748.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,23813429,"2,727.89 "
Department of Health,NHS Barnsley CCG,30/09/2018,Clinical&Medical-Commercial Sector,OUT OF HOURS,BARNSLEY HEALTHCARE FEDERATION,23849330,"124,715.53 "
Department of Health,NHS Barnsley CCG,30/09/2018,Soc Care-Support Prim Care,GP FORWARD VIEW,BARNSLEY HEALTHCARE FEDERATION,23849340,"132,164.41 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),23817877,"41,098.76 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),23817877,14.69 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),23817877,"11,654.20 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),23817877,"4,158.04 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661952,"270,572.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661952,"11,398,649.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661938,"10,847.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661938,"562,297.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-CQUIN,INTERMEDIATE CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661950,"5,042.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-CQUIN,LONG TERM CONDITIONS,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661950,"3,826.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,INTERMEDIATE CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661950,"201,654.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,LONG TERM CONDITIONS,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23661950,"153,046.00 "
