SupplierID,Supplier,CCFound,CCRegNo,CCFoundName,CHFound,CHRegNo,CHFoundName,GivenCompanyCategory,Status,CH_VCSE_Strict,CH_VCSE_Loose,CIC_Name contains CIC,CQCCareHome,CQCCareHomeNumber,Website_VCSE_Info_Available,Website_VCSE_Info,Supplier_Type_CC+VCSEStrict+CIC,Supplier_Type_CC+VCSELoose+CIC,Supplier_Type_VCSEManual,Supplier_Type_VCSEManual_ExclNHSLA,GPServices,Hospice,NHS,LA,GOV,PoliceFire,PHB_CHC,CareHome,Solicitor,Executor,PharmOp,University,School,LMC_LPC,Redacted,Uninformative,SupplierSector,SUPPLIER_STANDARD_NAME
1,02E PHB 3878 (HJ),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02E PHB 3878 (HJ)
2,02E PHB ID 2723 (JG),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02E PHB ID 2723 (JG)
3,02EKS2540,0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Redacted,02EKS2540
4,02F PHB ID 100431 (RS),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02F PHB ID 100431 (RS)
5,02F PHB ID 104484 (MR),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02F PHB ID 104484 (MR)
6,02F PHB ID 98373 (PMS),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02F PHB ID 98373 (PMS)
7,02F PHB ID 99528 (TH),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,02F PHB ID 99528 (TH)
8,1 POINT,0,,,1,IP031648,1POINT (NORTH WEST) LIMITED,Registered Society,CHnotCC,1,1,0,0,,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1POINT (NORTH WEST) LIMITED
9,12 POINT CARE LTD,0,,,1,9214266,12 POINT CARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,12 POINT CARE LIMITED
10,1ST CARE LTD,0,,,1,4254989,1ST CARE LIMITED,Private Limited Company,CHnotCC,0,0,0,1,1-122912378,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CareHome,1ST CARE LIMITED
11,1ST CARE NURSING LTD,0,,,1,5253781,1ST CARE NURSING LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1ST CARE NURSING LIMITED
12,1ST LINK MEDICAL LTD,0,,,1,10996550,1ST LINK MEDICAL LTD,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1ST LINK MEDICAL LTD
13,2020 DELIVERY LTD,0,,,1,5671510,2020 DELIVERY LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,2020 DELIVERY LIMITED
14,2GETHER NHS FOUNDATION TRUST,0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NHS,2GETHER NHS FOUNDATION TRUST
15,313Y LTD,0,,,1,3778893,313Y LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,313Y LIMITED
16,360 CARE LTD,0,,,1,6777375,360 CARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,360 CARE LIMITED
17,365 RESPONSE LTD,0,,,1,8153929,365 RESPONSE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,365 RESPONSE LIMITED
18,3C TECHNOLOGY LTD,0,,,1,2604836,3C TECHNOLOGY LTD.,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,3C TECHNOLOGY LTD.
19,3D RECRUIT LTD,0,,,1,4523823,3D RECRUIT LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,3D RECRUIT LIMITED
20,3L CARE LTD,0,,,1,7174346,3L CARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,3L CARE LIMITED
21,3SIXTY CARE LTD,0,,,1,9145459,3SIXTY CARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,3SIXTY CARE LIMITED
22,3VH LTD,0,,,1,6733977,3VHEALTHCARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GPServices,3VHEALTHCARE LIMITED
23,3WAY HEALTHCARE,0,,,1,8700963,3 WAY HEALTHCARE LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,3 WAY HEALTHCARE LIMITED
24,4 MENTAL HEALTH LTD,0,,,1,11035385,4 MENTAL HEALTH LTD,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,4 MENTAL HEALTH LTD
25,4 SEASONS MEDICAL CENTRE LTD,0,,,1,3679849,4 SEASONS MEDICAL CENTRE LTD,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GPServices,4 SEASONS MEDICAL CENTRE LTD
26,42ND STREET LTD,0,,,1,1706903,42ND STREET LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,42ND STREET LIMITED
27,4WAY SUPPORT SERVICES LTD,0,,,1,5233154,4WAY SUPPORT SERVICES LTD,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,4WAY SUPPORT SERVICES LTD
28,7114 02E,0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Redacted,7114 02E
29,7VIDEO LTD,0,,,1,6451698,7VIDEO LIMITED,Private Limited Company,CHnotCC,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,7VIDEO LIMITED
30,92 HIGHER DRIVE LTD,0,,,1,1906108,92 HIGHER DRIVE LIMITED,Private Limited Company,CHnotCC,0,0,0,1,1-304859839,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CareHome,92 HIGHER DRIVE LIMITED
31,99B PHB ID 48909 (AL),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,99B PHB ID 48909 (AL)
32,99B PHB ID 90165 (PC),0,,,0,,,,NotCCorCH,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHB,99B PHB ID 90165 (PC)
