"CCGName","CCGCode","TotalSpend","NHSLASpend","NonNHSLASpend","NonNHSLAVCSESpend","NonNHSLANonVCSESpend","PC_NHSLASpend","PC_NonNHSLASpend","PC_NonNHSLAVCSESpend","PC_NonNHSLAVCSENonSpend","VCSEofNonNHSLASpend","NonVCSEofNonNHSLASpend","ID"
"NHS EAST STAFFORDSHIRE CCG","E38000053",147758294.21,77936601.8,69821692.41,1205943.88,68615748.53,0.527460080780531,0.472539919219469,0.00816159855152405,0.464378320667945,0.0172717652405011,0.982728234759499,1
"NHS NORTH EAST LINCOLNSHIRE CCG","E38000119",236750789.58,135559940.92,101190848.66,69157899.21,32032949.45,0.572584958050132,0.427415041949868,0.29211264440844,0.135302397541427,0.683440253005187,0.316559746994813,2
"NHS STAFFORD AND SURROUNDS CCG","E38000173",249474734.45,168566190.91,80908543.54,3154406.35,77754137.19,0.675684418631115,0.324315581368885,0.0126441916330898,0.311671389735795,0.0389873085336224,0.961012691466377,3
"NHS HULL CCG","E38000085",382198550.15,264930596.61,117267953.54,52875495.12,64392458.42,0.693175305102606,0.306824694897394,0.138345619310299,0.168479075587095,0.450894669206999,0.549105330793001,4
"NHS WILTSHIRE CCG","E38000206",572930154.24,401988286.65,170941867.59,2543606.38,168398261.21,0.701635764281325,0.298364235718675,0.00443964479993924,0.293924590918735,0.0148799496335256,0.985120050366474,5
"NHS EAST RIDING OF YORKSHIRE CCG","E38000052",398558233.79,287010115.65,111548118.14,31031465.06,80516653.08,0.720120904091585,0.279879095908415,0.0778592999193951,0.20201979598902,0.278189050406512,0.721810949593488,6
"NHS BRISTOL N SOMERSET S GLOS CCG","E38000222",1174985618.81,846844834.32,328140784.49,160314295.84,167826488.65,0.720727829143701,0.279272170856299,0.136439368511049,0.14283280234525,0.488553399691423,0.511446600308577,7
"NHS MEDWAY CCG","E38000104",367527308.23,265913422.98,101613885.25,45529073.67,56084811.58,0.723520176665594,0.276479823334406,0.123879430590523,0.152600392743883,0.448059569398268,0.551940430601732,8
"NHS SWALE CCG","E38000180",138889264.19,101855047.49,37034216.7,3755857.38,33278359.32,0.733354360281315,0.266645639718685,0.0270421000637026,0.239603539654982,0.101415871987378,0.898584128012622,9
"NHS RUSHCLIFFE CCG","E38000142",172951100.23,127314722.65,45636377.58,4898019.87,40738357.71,0.736131325448001,0.263868674551999,0.0283202585209712,0.235548416031028,0.107327095833008,0.892672904166992,10
"NHS SOUTH WEST LINCOLNSHIRE CCG","E38000165",162992448.46,120422523.25,42569925.21,2215557.08,40354368.13,0.738822714719528,0.261177285280472,0.0135930044669752,0.247584280813497,0.052045125028304,0.947954874971696,11
"NHS BROMLEY CCG","E38000023",434232478.96,321152795.63,113079683.33,55638532.68,57441150.65,0.739587228479939,0.260412771520061,0.128130748794415,0.132282022725645,0.492029434833402,0.507970565166598,12
"NHS NORTH EAST ESSEX CCG","E38000117",428059948.92,317679088.43,110380860.49,38221086.38,72159774.11,0.742136911503886,0.257863088496114,0.0892890971847103,0.168573991311404,0.346265522938759,0.653734477061242,13
"NHS HIGH WEALD LEWES HAVENS CCG","E38000081",261873306.24,195665736.18,66207570.06,1844623.79,64362946.27,0.747177094868453,0.252822905131547,0.00704395501964393,0.245778950111903,0.0278612217353443,0.972138778264656,14
"NHS WEST NORFOLK CCG","E38000203",254232565.13,190551170.6,63681394.53,3058280.97,60623113.56,0.749515194886867,0.250484805113133,0.0120294619551833,0.23845534315795,0.048024717306705,0.951975282693295,15
"NHS NOTTINGHAM CITY CCG","E38000132",421967879,317722679.8,104245199.2,55292375.39,48952823.81,0.752954657479983,0.247045342520017,0.131034560073706,0.11601078244631,0.530406923429813,0.469593076570187,16
"NHS OLDHAM CCG","E38000135",317166480.8,239514543.65,77651937.15,4684065.23,72967871.92,0.755169786686992,0.244830213313008,0.0147684749604852,0.230061738352523,0.0603212927058317,0.939678707294168,17
"NHS SOUTH LINCOLNSHIRE CCG","E38000157",204048257.44,154107821.88,49940435.56,1274898.93,48665536.63,0.755251839998267,0.244748160001733,0.00624802655016489,0.238500133451568,0.0255283902854291,0.974471609714571,18
"NHS WEST LANCASHIRE CCG","E38000200",137335334.85,104088577.09,33246757.76,2201878.91,31044878.85,0.757915486234386,0.242084513765614,0.0160328651938333,0.226051648571781,0.0662283800993412,0.933771619900659,19
"NHS KINGSTON CCG","E38000090",247632297.69,188154602.37,59477695.32,31019525.14,28458170.18,0.759814467358141,0.240185532641859,0.125264456330458,0.114921076311401,0.521532062954184,0.478467937045816,20
"NHS GREAT YARMOUTH AND WAVENEY CCG","E38000063",298417594.36,230935275.7,67482318.66,31936865.72,35545452.94,0.773866152883091,0.226133847116909,0.107020719701508,0.119113127415401,0.473262720578843,0.526737279421157,21
"NHS WEST CHESHIRE CCG","E38000196",329873303.5,255310672.02,74562631.48,5907716.7,68654914.78,0.77396585086189,0.22603414913811,0.0179090476171255,0.208125101520984,0.0792316014434742,0.920768398556526,22
"NHS ASHFORD CCG","E38000002",160508601.58,124357806.52,36150795.06,5632956.04,30517839.02,0.77477347192523,0.22522652807477,0.0350944185205704,0.1901321095542,0.155818316876597,0.844181683123403,23
"NHS NOTTINGHAM NORTH & EAST CCG","E38000133",199182976.24,154424963.57,44758012.67,3759882.25,40998130.42,0.775291977683524,0.224708022316476,0.0188765240934528,0.205831498223023,0.0840046737043832,0.915995326295617,24
"NHS SOUTH WORCESTERSHIRE CCG","E38000166",363405699.93,283088717.33,80316982.6,1799386.92,78517595.68,0.778988104436802,0.221011895563198,0.00495145486255885,0.216060440700639,0.0224035672375969,0.977596432762403,25
"NHS LINCOLNSHIRE EAST CCG","E38000099",352321772.91,274483728.57,77838044.34,5053229.79,72784814.55,0.77907114937264,0.22092885062736,0.0143426554318879,0.206586195195472,0.0649197938212228,0.935080206178777,26
"NHS NOTTINGHAM WEST CCG","E38000134",123316949.88,96139834.33,27177115.55,3338486.37,23838629.18,0.779615733470167,0.220384266529833,0.0270724046714478,0.193311861858385,0.122841821232202,0.877158178767798,27
"NHS NORTH STAFFORDSHIRE CCG","E38000126",298863422.02,233733854.05,65129567.97,7198543.46,57931024.51,0.782075813996262,0.217924186003738,0.0240863984335904,0.193837787570147,0.11052650408054,0.88947349591946,28
"NHS NORTH NORFOLK CCG","E38000124",239610344.28,187854470.63,51755873.65,2598162.84,49157710.81,0.78399983604414,0.21600016395586,0.0108432832806412,0.205156880675219,0.0502003474537039,0.949799652546296,29
"NHS FYLDE & WYRE CCG","E38000226",230840979.97,182433588.46,48407391.51,8824776.33,39582615.18,0.790299835339934,0.209700164660066,0.0382288115877296,0.171471353072336,0.182302248783163,0.817697751216837,30
"NHS NEW DEVON CCG","E38000129",1064856522.86,841611951.67,223244571.19,118417041.3,104827529.89,0.790352440542499,0.209647559457501,0.111204691672409,0.0984428677850922,0.530436375983437,0.469563624016563,31
"NHS SCARBOROUGH AND RYEDALE CCG","E38000145",162735561.42,128743025.5,33992535.92,2728648.34,31263887.58,0.791117960798565,0.208882039201435,0.0167673759575985,0.192114663243837,0.080271985191742,0.919728014808258,32
"NHS DARTFORD GRAVESHAM SWANLEY CCG","E38000043",320637912.28,254244848.73,66393063.55,7811918.37,58581145.18,0.792934456571618,0.207065543428382,0.0243636765049112,0.182701866923471,0.117661664521881,0.882338335478119,33
"NHS SOUTHAMPTON CCG","E38000167",327506749.64,259883889.2,67622860.44,769335.74,66853524.7,0.793522238810858,0.206477761189142,0.0023490683500284,0.204128692839114,0.0113768588757438,0.988623141124256,34
