"CCGName","CareHome","Executor","GOV","GPServices","Hospice","LA","LMC_LPC","NHS","Other","PharmOp","PoliceFire","School","Solicitor","University","Total","PC_CareHome","PC_Executor","PC_GPServices","PC_GOV","PC_Hospice","PC_LA","PC_LMC_LPC","PC_NHS","PC_Other","PC_PharmOp","PC_PoliceFire","PC_School","PC_Solicitor","PC_University"
"NHS ASHFORD CCG",898133.58,32090.48,0,22290874.31,408683.55,10374053.47,0,113983753.05,12521013.14,0,0,0,0,0,160508601.58,0.00559554797162915,0.000199929970631547,0.13887650936196,0,0.00254617849745769,0.0646323833606476,0,0.710141088564582,0.0780083622730918,0,0,0,0,0
"NHS BARKING AND DAGENHAM CCG",1414581.22,0,215676.79,32289821.34,696631.88,14224851.36,0,223138110.07,21896608.82,0,0,49000,139428.33,153216,294217925.81,0.00480793689271506,0,0.10974797423068,0.000733051153855526,0.00236774111598445,0.048348010478417,0,0.758410995712403,0.0744230956007092,0,0,0.000166543217464062,0.000473894748649815,0.000520756849121912
"NHS BARNET CCG",4290786.34,0,1712226.65,43047162.31,1094171,24162267.19,240239,381713068.56,14005406.48,0,0,0,53289.96,0,470318617.49,0.00912314796913442,0,0.091527659567751,0.00364056745007847,0.00232644628409434,0.0513742520314194,0.000510800531950254,0.811605270055286,0.0297785500279452,0,0,0,0.000113306082341367,0
"NHS BARNSLEY CCG",984320.28,0,1653615.22,29851589.67,1589086.08,32229831.21,0,270596057.14,13724643.27,0,0,282300,0,0,350911442.87,0.00280503899203041,0,0.0850687268156682,0.00471234339489067,0.00452845329580403,0.0918460536550243,0,0.771123491804301,0.039111415568983,0,0,0.000804476473298085,0,0
"NHS BASILDON AND BRENTWOOD CCG",146544.44,0,1170312.63,2049144.68,3029842,17455939.61,0,243399846.94,22867121.96,0,0,0,0,0,290118752.26,0.000505118813790668,0,0.00706312385544657,0.00403390894550375,0.0104434545385219,0.0601682568741929,0,0.838966268274409,0.0788198686981351,0,0,0,0,0
"NHS BASSETLAW CCG",246000,0,54393.8,15768950.09,0,9423676.93,40000,106144072.08,7346083.58,0,0,0,0,0,139023176.48,0.00176948913288131,0,0.113426771630905,0.000391257065024875,0,0.0677849346317857,0.000287721810224603,0.763499114086708,0.0528407116424707,0,0,0,0,0
"NHS BATH & NORTH EAST SOMERSET CCG",0,0,1236036.52,23627216.04,0,56692888.48,25434,137984183.85,15048235.73,0,0,0,0,0,234613994.62,0,0,0.100706763372187,0.00526838359323784,0,0.241643251383296,0.000108407855384735,0.588132792647303,0.0641404011485903,0,0,0,0,0
"NHS BEDFORDSHIRE CCG",2780684.3,0,2592803.06,17347193.42,343544.49,21572840.56,0,416587183.54,41704691.65,0,0,0,0,0,502928941.02,0.00552898048452022,0,0.0344923348113907,0.00515540635768839,0.000683087533803982,0.0428944107218163,0,0.828322153613016,0.0829236264777642,0,0,0,0,0
"NHS BERKSHIRE WEST CCG",104874.75,0,1713029.59,55310334.47,31500,22551322.2,166749.86,442444841.38,31583410.09,0,0,0,0,0,553906062.34,0.000189336707305481,0,0.0998550805462195,0.00309263556849917,5.68688486039075e-05,0.0407132612066583,0.000301043572795643,0.798772339683145,0.0570194338667725,0,0,0,0,0
"NHS BEXLEY CCG",2159126.28,0,1196700.59,25630512.61,1118146,13787180.32,146715,257330222.33,9522253.93,0,0,0,27674.21,0,310918531.27,0.00694434735421102,0,0.0824348182313475,0.00384892011779379,0.00359626682730277,0.0443433855926306,0.000471876022959189,0.827645175341883,0.0306262025975252,0,0,0,8.90079143464365e-05,0
