"ID","SUPPLIER_STANDARD_NAME","Invoices","Spending"
1,"NUFFIELD HEALTH",692,99636193.78
2,"THE LIVEWELL FOUNDATION",60,88309072.41
3,"CITY HEALTH CARE PARTNERSHIP CIC",306,82593252.75
4,"INTEGRATED CARE 24",499,67531234.26
5,"SIRONA CARE & HEALTH C.I.C.",68,57977958.7
6,"NOTTINGHAM CITYCARE PARTNERSHIP CIC",126,50998044.79
7,"BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY",202,49103962.74
8,"MEDWAY COMMUNITY HEALTHCARE C.I.C.",176,46936786.56
9,"BRISTOL COMMUNITY HEALTH C.I.C.",42,46058257.31
10,"LOCALA COMMUNITY PARTNERSHIPS C.I.C.",98,43495886.23
11,"HERTS URGENT CARE LIMITED",202,42213325.06
12,"LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE LIMITED",192,30696222.38
13,"YOUR HEALTHCARE COMMUNITY INTEREST COMPANY",72,30434102.72
14,"ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY",69,29428117.98
15,"DHU HEALTH CARE C.I.C.",166,29108875.26
16,"NORTH SOMERSET COMMUNITY PARTNERSHIP COMMUNITY INTEREST COMPANY",30,27363412.94
17,"DEVON DOCTORS LIMITED",93,27119716.92
18,"NAVIGO LIMITED",29,26918422.77
19,"EAST COAST COMMUNITY HEALTHCARE C.I.C.",37,26301566.22
20,"CARE PLUS GROUP (NORTH EAST LINCOLNSHIRE) LIMITED",46,25514872.63
21,"PROVIDE COMMUNITY INTEREST COMPANY",66,25138627.04
22,"DHU 111 (EAST MIDLANDS) CIC",316,24645615.07
23,"BATTERSEA HEALTHCARE COMMUNITY INTEREST COMPANY",52,23620529.32
24,"FIRST COMMUNITY HEALTH & CARE C.I.C.",65,19722808.47
25,"TOWER HAMLETS GP CARE GROUP CIC",61,17178323.61
26,"FCMS (NW) LIMITED",62,17128933.99
27,"MARIE STOPES INTERNATIONAL",409,16752323.39
28,"PARTNERSHIP OF EAST LONDON CO-OPERATIVES (PELC) LIMITED",125,15489654.7
29,"MARIE CURIE",187,14339089.12
30,"BRITISH PREGNANCY ADVISORY SERVICE",293,13676883.98
31,"CUMBRIA HEALTH ON CALL LIMITED",62,12457768.39
32,"THE HEALTHCARE MANAGEMENT TRUST",67,10853133.49
33,"BARDOC LIMITED",69,10292246.77
34,"SUFFOLK GP FEDERATION C.I.C.",138,10098481.28
35,"FAIRFIELD INDEPENDENT HOSPITAL",62,9610744
36,"NEMS COMMUNITY BENEFIT SERVICES LIMITED",78,8917399.57
37,"ONE CARE (BNSSG) C.I.C.",34,8795348.71
38,"ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED",32,8390847.24
39,"ALTERNATIVE FUTURES GROUP LIMITED",114,8278678.96
40,"NORTH HAMPSHIRE URGENT CARE LIMITED",64,7719009.26
41,"SUE RYDER",36,7569391.41
42,"ST CHRISTOPHERS HOSPICE",48,7375860.88
43,"BRADFORD CARE ALLIANCE CIC",28,7248385.04
44,"HORDER HEALTHCARE",57,7140183.99
45,"MASTERCALL HEALTHCARE",63,6753799.21
46,"MENTAL HEALTH CONCERN",32,6679365.77
47,"MENTAL HEALTH MATTERS",26,6394369.08
48,"SALFORD PRIMARY CARE TOGETHER CIC",59,6357565.78
49,"FOCUS INDEPENDENT ADULT SOCIAL WORK C.I.C.",12,6195702
50,"BENENDEN HOSPITAL TRUST",60,5992553.35
51,"THE RICHMOND FELLOWSHIP",90,5953493.96
52,"INVICTA HEALTH COMMUNITY INTEREST COMPANY",88,5761919.91
53,"CORNWALL CARE LIMITED",112,5725153.54
54,"DIMENSIONS (UK) LIMITED",29,5716383.5
55,"EAST LANCASHIRE MEDICAL SERVICES LIMITED",46,5706866.12
56,"BADGER HEALTHCARE LIMITED",43,5617991.91
57,"ST BARNABAS HOSPICE TRUST",61,5217025.16
58,"BARNSLEY HEALTHCARE FEDERATION CIC",73,5207824.55
59,"POOLE RIGHTS ORGANISATION ON DISABILITY",44,5167096.29
60,"SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED",51,5153869.07
61,"HARROW HEALTH C.I.C.",88,5097240.3
62,"THE BROMLEY BY BOW CENTRE",44,5011734.86
63,"TURNING POINT",85,4988817.96
64,"COMMUNITY BASED CARE HEALTH LIMITED",27,4884537.4
65,"BARNET FEDERATED GPS C.I.C.",43,4867481.93
66,"THE CONFEDERATION, HILLINGDON CIC",39,4860477.41
67,"SOUTHSIDE PARTNERSHIP",71,4722082.92
68,"ST CATHERINES HOSPICE",15,4695268.1
69,"ADDACTION",92,4633632.45
70,"THE SHROPSHIRE DOCTORS' CO-OPERATIVE LIMITED",46,4537972.47
71,"ST ANDREW'S HEALTHCARE",115,4402768.14
72,"SEVERN HOSPICE LIMITED",14,4289897.47
73,"MILTON KEYNES URGENT CARE SERVICES COMMUNITY INTEREST COMPANY",25,4176907.12
74,"ST. HELENA HOSPICE LIMITED",14,4175590
75,"ST ANN'S HOSPICE",17,4133382
76,"THE BIG LIFE COMPANY LIMITED",18,4080330.32
77,"RETHINK",77,4006404.51
78,"JOHN TAYLOR HOSPICE",12,3936289
79,"EPILEPSY SOCIETY",40,3799661.5
80,"VIADUCT CARE C.I.C.",19,3788980.08
81,"THE ROTHERHAM HOSPICE TRUST",12,3778156.56
82,"SOUTH DURHAM HEALTH C.I.C.",26,3631978.5
83,"HOSPICE IN THE WEALD",4,3618064.38
84,"ARTHUR RANK HOSPICE CHARITY",12,3600000
85,"LEONARD CHESHIRE DISABILITY",70,3557505.76
86,"TRINITY HOSPICE AND PALLIATIVE CARE SERVICES LTD",10,3532155.5
87,"SUE RYDER CARE",18,3427287.81
88,"ST. MARY'S HOSPICE LIMITED",8,3406802
89,"CENTRAL LONDON HEALTHCARE CIC",32,3394119.57
90,"GREENWICH AND BEXLEY COMMUNITY HOSPICE LIMITED",17,3393146
91,"KERNOW HEALTH CIC",47,3386421.32
92,"STARFISH HEALTH AND WELL-BEING COMMUNITY INTEREST COMPANY",55,3333839.19
93,"HOSPITAL OF ST JOHN AND ST ELIZABETH",38,3310045.07
94,"NORTH STAFFORDSHIRE GP FEDERATION LIMITED",38,3277300.69
95,"CHIME SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY",14,3194663
96,"EARL MOUNTBATTEN HOSPICE",8,3118790.8
97,"QUAY HEALTH SOLUTIONS CIC",20,3085939.08
98,"THAMES HOSPICE",24,3001444.97
99,"GP CARE UK LIMITED",55,2964848.33
100,"MEEBBB HEALTH CIC",18,2958504.02
101,"ALZHEIMER'S SOCIETY",69,2913175.84
102,"ASHGATE HOSPICE",4,2882448
103,"THE CHILDREN'S TRUST",76,2867627.69
104,"DOUGLAS MACMILLAN HOSPICE",18,2815318.46
105,"BEVAN HEALTHCARE C.I.C.",42,2802442.17
106,"ST GEMMA'S HOSPICE",2,2779157.77
107,"CREATIVE SUPPORT LIMITED",60,2777903.68
108,"ST JOSEPH'S HOSPICE HACKNEY",9,2777581
109,"LOCAL CARE DIRECT LIMITED",28,2775514.33
110,"SAINT FRANCIS HOSPICE",17,2735955.84
111,"COMPASS WELLBEING CIC",4,2732139.07
112,"ST GILES HOSPICE",39,2725034.46
113,"ST ANNE'S COMMUNITY SERVICES",34,2676095.78
114,"COMPTON CARE GROUP LIMITED",22,2664283
115,"THE MYTON HOSPICES",20,2650010.25
116,"FREEMANTLE TRUST",60,2648657.26
117,"GOTODOC LIMITED",49,2648114.04
118,"NORTHPOINT WELLBEING LIMITED",14,2606850
119,"SECOND STEP LIMITED",18,2583981.25
120,"COMMUNITY LINKS",7,2579151.25
121,"THE BRENDONCARE FOUNDATION",32,2551136.3
122,"HIGHTOWN HOUSING ASSOCIATION LIMITED",43,2524173.61
123,"PILGRIMS HOSPICES IN EAST KENT",42,2441619.43
124,"ST MARGARET'S SOMERSET HOSPICE",30,2419701.66
125,"AMBIENT SUPPORT LIMITED",31,2391914.89
126,"WOODLANDS HOSPICE CHARITABLE TRUST",22,2370268.76
127,"SELF HELP SERVICES",38,2360403.02
128,"ST MICHAEL'S HOSPICE HASTINGS AND ROTHER",6,2355497.8
129,"SALVERE SOCIAL ENTERPRISE CIC",63,2326738.05
130,"MIND IN BEXLEY",22,2316496
131,"THE MARTLETS HOSPICE LIMITED",14,2312868.5
132,"ROWCROFT HOUSE FOUNDATION LIMITED",12,2280964.34
