"SUPPLIER_STANDARD_NAME","CCGCount","Spending"
"NUFFIELD HEALTH",51,99636193.78
"MARIE STOPES INTERNATIONAL",50,16752323.39
"BRITISH PREGNANCY ADVISORY SERVICE",36,13676883.98
"MARIE CURIE",28,14339089.12
"INTEGRATED CARE 24",26,67531234.26
"STROKE ASSOCIATION",24,2034162.52
"ALZHEIMER'S SOCIETY",23,2913175.84
"BRITISH RED CROSS SOCIETY",20,2051939.83
"ST ANDREW'S HEALTHCARE",20,4402768.14
"THE RICHMOND FELLOWSHIP",20,5953493.96
"DHU 111 (EAST MIDLANDS) CIC",19,24645615.07
"THE CHILDREN'S TRUST",19,2867627.69
"LEONARD CHESHIRE DISABILITY",14,3557505.76
"METHODIST HOMES",13,2246765.66
"RETHINK",13,4006404.51
"TURNING POINT",12,4988817.96
"ADDACTION",11,4633632.45
"LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE LIMITED",11,30696222.38
"NATIONAL STAR FOUNDATION",11,1272614.25
"ALTERNATIVE FUTURES GROUP LIMITED",10,8278678.96
"DHU HEALTH CARE C.I.C.",10,29108875.26
"THE DISABILITIES TRUST",9,1057899.72
"SALVERE SOCIAL ENTERPRISE CIC",8,2326738.05
"SUE RYDER",8,7569391.41
"HORDER HEALTHCARE",7,7140183.99
"NEMS COMMUNITY BENEFIT SERVICES LIMITED",7,8917399.57
"PRIMARY CARE COMMISSIONING COMMUNITY INTEREST COMPANY",7,818760
"PARTNERSHIP OF EAST LONDON CO-OPERATIVES (PELC) LIMITED",6,15489654.7
"ACTION ON HEARING LOSS",6,757366.31
"BENENDEN HOSPITAL TRUST",6,5992553.35
"COMMUNITY INTEGRATED CARE",6,2080460.46
"COMPTON CARE GROUP LIMITED",6,2664283
"FAIRFIELD INDEPENDENT HOSPITAL",6,9610744
"HERTS URGENT CARE LIMITED",6,42213325.06
"MILDMAY MISSION HOSPITAL UK",6,875481.5
"ST ANN'S HOSPICE",6,4133382
"ST CHRISTOPHERS HOSPICE",6,7375860.88
"ST GILES HOSPICE",6,2725034.46
"THE LEADERSHIP CENTRE FOR LOCAL GOVERNMENT",6,469212
"AMBIENT SUPPORT LIMITED",5,2391914.89
"BARNARDO'S",5,879815.24
"CREATIVE SUPPORT LIMITED",5,2777903.68
"HESTIA HOUSING AND SUPPORT",5,548882.08
"INVICTA HEALTH COMMUNITY INTEREST COMPANY",5,5761919.91
"LIVABILITY",5,889496.65
"MARTIN HOUSE",5,485428.65
"NOTTINGHAM CITYCARE PARTNERSHIP CIC",5,50998044.79
"PRIORS COURT FOUNDATION",5,521873.23
"ST CATHERINES HOSPICE",5,4695268.1
"ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED",5,8390847.24
"SUE RYDER CARE",5,3427287.81
"THE NOTTINGHAMSHIRE HOSPICE LIMITED",5,733256.09
"ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY",4,1660872.84
